seq,title,writer,content
4958,같이 일하는 infp 4번 친구 친해지기,하늘하늘ISTP,사회복무같이 하고 있는 친구인데 저 보다 먼저 들어왔어요 서로 여행에 관심이 많고 서로 일본여행을 경험해 봐서 친해지게 되었는데 제가 빠른 년생인데도 우리 그냥 편하게 친구하자 이랬던 그런 좋은 얘입니다 좀 친해지고 싶은데 제가 얘가 일하는 층에 가서 오늘 점심 먹을꺼야? 이러면 안먹는다고 하거나 바로앞 편의점에서 대충먹고 누어있는다고 할 때가 많아서 그래서 이젠 잘 안물어봐요 얘는 저 어디로 점심 먹으러 가는지 관심도 없고요 자꾸 점심때면 사라져요 잘 안보이는 곳에가서 이어폰 끼고 누어있고 그리고 가끔 보면 혼자 음식점으로 점심 먹으로 가는 것 같고 자꾸 사라져서 전에 점심시간에 잡아서 편의점에서 같이먹고 들어와서 50분동안 여행이야기나 일본이야기를  같이 했어요 표정은 누어있고 싶어하는데 관심 있는 이야기니까 그래도 끝까지 이야기 하더라고요 얘가 좀 특이한게 돈도 아니고 시간 아껴야된다고 편의점에서 삼각김밥이나 김밥 하나 사서 오면서 빨리 먹고 들어와서 누어있어요피시방 가자고 해도 자기는 게임 안한다고 별로라하고 우리집에 가자고 해도 별로라 하네요보니까 infp분들은 사람 사귀는게 까다롭다고 하던데 얘한테 밥도 얻어먹고 술도 한번 얻어 먹은 적이 있는데 평소에 보면 나랑 친해지기 싫은건가 하는 생각도 들어요infp랑 친해질려면 어떤식으로 하는 좋을까요 그냥 냅둘까요
4959,하우스 오브 카드 보신분?,장완 ISFJ,워커 대통령은 무슨 유형일까요?
4960,지아도취가 강한 유형도 있나요?,노엘라infp,예를들어 자기 작품을 막 여러장보내고자기는 예술적일을 했어야한다며맨날 공방선생님이 자기안에 마젠타가 있다고 합니다.. 이 유형은 멀까요
4961,제 삘로 저는 intp 9w1 같아요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,거울조각,분명히 본 성격은 아무리 봐도 intp가 맞는듯 한데 페르소나가 isfp나 istp로 보이는 거 같아요  9번이 하도 강하다보니...게으르고 논쟁도 별로 귀찮아하고  하고 싶으면 바로 행동으로 옮기고  저처럼 인팁 9번 있나요? 궁금하네요
4962,어으 이참에 INTJ로 닉을 바꿀까봐요.,따뜻한 INFJ,"요즘 카페에서 자주보이는 MMDI 라는 걸 해 봤습니다!...제 원래 유형은 INFJ이고, 계속 그렇게 믿어왔어요.그런데..그 결과는... INTX 네요.정식검사에서도 INTJ 나왔었지만 성향을 봤을 때 INFJ가 맞다고 생각했는데... 사실 정확성이 떨어지는 약식의... 검사긴 하지만, 아무래도 저는 닉네임을 바꿔야겠네요.오늘부터 따뜻한 인트제....... 하하하"
4963,유형 감별 부탁요~?,ENFJ,"1. 계획은 세우나 계획대로 움직이지는 않는다.2. 본인이 매뉴얼 쓰는걸 좋아하지만 남이 만든 매뉴얼을 보지 않는다.3. 외향적이고 사교적이란 말을 들음 그러나 혼자 있는 시간을 즐김4. 장기간의 계획10년, 20년후 이 있고 거기에 맞춰서 산다.5. 경쟁심이 강하다 1등병 있음6. 한번 맺은 인연이 중간에 끊기는 일은 거의 없다.7. 독실한 종교가 기독교8. 예술, 음악 쪽 조예가 높음9. 본인이 세운 기준에 도달하지 못했을 경우 강한 자괴감에 빠짐10.독심술을 쓴다 가끔."
4964,뭔 유형일까요,거울조각,1.귀찮은 거 싫어함2.갑자기 바뀌는거 별로 안좋아함3.노는거 좋아함4.덕후기질 충만함5.누가 아파 하면 괜찮아? 보다 마데카솔 줄까?가 먼저 나옴6.사람 잘 못믿음7.남한테 관심 없음8.싸우면 엄청 싸우고 한 몇일 있으면 어색한거 싫어서 내가 먼저 사과함9.약간 생각 없이 말함10.이유를 중요시하고 의도를 중요시함11.그래서 내 의도가 그게 아니였는데 성질내면 나도 화냄12.하고 싶으면 꼭 함 13.좋아하는 사람과 싫어하는 사람의 경계가 확실함14.단어를 중요시여김15.뒷담 많이함16.랩 좋아함17.낯 많이 가림18.잠 많음19.뭐 잘 잃어버림20.막 눈치가 빠르진 않음21.성격검사 좋아함 22.몰입 잘함23.착하다는 말 많이 듣는데 그닥 안 착함24.남 감정보다 내 감정이 훨씬 중요함
4965,개인적으로 문재인 대통령은 ISFJ라고 생각합니다.,Shiky INTP,"MBTI와 정치에 관심이 많고, 현 대통령을 딱히 싫어하지도 좋아하지도 않는 한 시민으로서 조심스레 예측해보자면 ISFJ 일 것같다고 생각합니다  그렇게 생각하는 이유는I내향형 다정하고 의리있는 이미지만 보면 E같아도 보이지만 실제로 가까운 사람들의 증언에 의하면 의외로 쑥스러움을 많이 타고 낯가림도 꽤 하는 편이며 새로운 사람들과의 만남에도 적극적이지 않은 편이라고 하죠.S감각형 돌려서 말 하면 못알아들으시며 곧이 곧대로 알아듣는다던 유시민 작가의 증언도 그렇고, 안철수 전 대표와의 갈등을 집적 보고 증언한 박영선 의원의 증언에 의하면 이 둘이 서로 감정이 상하게 된 큰 이유가 바로 화법의 차이 때문이라더군요. 자세한 내용을 들어보면 전형적인 극강 S문와 극강 N안의 대화에서 흔히 보이는 양상이더군요.언제 한번 우연한 기회로 운좋게 청와대에서 대통령을 뵌 적이 있습니다. 그 때 정부 주도 일자리 정책에 대한 비판에 대해서는 충분히 인식하고 있으시다면서 거기에 대한 자신의 입장반론을 잠깐 이야기하셨는데 그 때 가장 많이 쓰시던 표현이 당장, 잠깐만, 바짝 하면 이었습니다. 장기적으로 가기보다는 당장 눈앞에 성과를 내고 싶어한다는 인상이 들더군요.공약, 정책 집행 방식을 봐도 그로 인한 파생되는 효과에 대해서 총체적으로 생각하기보다는 눈 앞의 결과를 한시라도 빨리 이루고 싶어하는 경향이 있습니다.숲을 보기보다는 당장 앞에 있는 나뭇잎에 집중하는 S에 가깝다고 생각합니다.F감정형 토론이나 정책적인 방향성, 실행 방식을 보면서 느낀 바입니다. 사실 많은 이들이 지적하는 것 처럼 공약으로 들고 나온 정책 등을 보면 다소 설익거나 빈틈이 있는 부분이 많습니다. 그럼에도 불구하고 이게 옮은 일이기 때문에 해야한다 라는 식으로 호소하는 느낌을 받았습니다. 논리 보다는 공공선에 더 무게를 두는 느낌이며 그 공공선의 가치에 기반이 되는 것이 감성이죠.일자리 정책을 예로 들면 수치적인 면 보다는 힘든 청년들이 많으니 국가가 나서서 도와야한다, 교육정책을 보면  학생들이 힘들어하니 해방시켜줘야한다 라는 감성적인 당위성이 강하게 느껴집니다.하지만 민정수석 시절 동창들이 오면 말 없이 돌아앉았다는 이야기 등을 보면 T 기능도 높은 F가 아닌가 싶습니다.J결정형 부드러워 보이면서도 제법 뚝심이 있는 편이며 단호합니다."
4966,영화 before 시리즈 제시랑 셀린은 유형이?,INTJ 4w5 사자,"영화 before 시리즈비포 선라이즈, 비포 선셋, 비포 미드나잇보신분 있나요?주인공 제시랑 셀린은 어떤 유형일까요?제가 생각하기에는셀린은 선라이즈에서 INFP같았고 선셋에서는 INTP미드나잇에서는 INTJ 모습이에요.전 INFP인 셀린이 INTJ로 변하는 모습이 대화에서 보여요.셀린이 여전히 INFP지만 현실로 인해 INTJ로 보여지는그럴 수밖에 없는모습에서 많은 동질감을 느낍니다.제시는 선라이즈에서 ENFJ같던데, 선셋이랑 미드나잇은 잘 모르겠네요."
4967,걸스데이 혜리의 유형은 무엇일까요??,INFP6w5,혜리 같은 성경 정말 좋아하는데 어떤 유형인지 궁금하네요고수 분들의 감별 부탁드립니다!!!
4968,어떤 유형일까요,나난 ENFP,외향적임호탕하게 웃고평소 밝고 씩씩하고 긍정적우울해하는 모습을 본 적이 없음상대에게 진심으로 충고하는데 서슴치 않음자유분방놀기 좋아함항상 바쁨낯가림 없음계획이 수시로 변경됨게으르게 보이나 할 일은 함벼락치기에 능하고 의외로 노력파순간 재치에 능함정의롭지 못한 작은 일을 지나치지 못하고 힘이 더 들어도 끝내 처벌함솔직해보이나 거짓말을 잘 함거짓말이었다고 고백도 잘 함비밀을 잘 못 지킴아무렇지 않게 자기 자랑을 잘 함상대에게 부탁할 부분을 아무렇지 않게 하는 낯두꺼움꾸밈이 없음까탈스럽지 않음생활력이 강함직업이 많음돈을 좇지만 이상하게 돈을 모으지 못함현실에 의거하여 판단합리적임귀가 얇음미신을 신봉함재미 위주이성관계에서 비교적 허용이 많음코믹댄스를 아무렇지 않게 춤분위기 메이커
4969,INFP와 잘맞는 유형은?,다니니니닝,INFP와 잘맞는 유형은 어떤유형이 있을까요?
4970,프로게이머 페이커선수는 무슨유형일까요?,99퍼센트 INFJ,아직 유형에 대해 지식이 부족하지만그냥 제 추측으로는 istj 같은 느낌이었는데회원분들이 생각하시는 페이커는 어떤 유형일것 같나요??httpsyoutu.becUJS8oC4Do이 영상 본 느낌과 평소 게임하던? 모습을 토대로 생각해봤어요
4971,식당에서 INFP인 친구,하늘하늘ISTP,유명한 돈까스식당을 가게 되었는데 웨이팅이 30분 걸린다고 저는 그냥 기다리기 싫어서 다른 식당으로 가자고 했어요 걔는 그냥 온거 먹고가자고 그래서 30분을 기다려서 주문을 했습니다 근데 또 기다려도 기다려도 돈까스가 나올 생각을 안해서 막 제가 따질려고 하니까 걔가 하지말라고 바쁘면 그럴수도 있지 뭘 그러냐고 알바도 힘들어하잖아 그냥 넘어가자 이러던 친구가요 돈까스가 나와서 먹을려고 하니까 친구가 갑자기 표정이 안좋아졌어요 왜 그러냐니까 알바가 기분 나쁘게 쳐다봤다고 싸가지도 없고 니가 좀 따져줘 이러네요 이해가 안되는게 웨이팅도괜찮고 음식 늦게 나오는것도 바쁜데 어쩔수 없지 이러면서 해맑던 얘가 갑자기 알바 표정 안좋다고 기분나쁘다고 투덜거리네요 다른 infp분들은 어떠신가요
4972,enti 와 isfp의 공존법은 무엇일까요?,네네네네네냐,여자인 제가 enti이고 남자가 isfp입니다각각 전형적인 유형인데요절 좋아하는 것 같긴 한데 어물쩡거리길래 그냥 제가 고백하고 사귄지 벌써 5년째입니다  둘다 고시 공부를 하고 있는데요 여러모로 다른 성향이라 남자친구도 저도 좀 힘들었어요  저는 강한 estj아버지 밑에서 살아온 터라 isfp인 남자친구에 끌렸던 것 같은데다른 건 모르겠고 싸우면 남자친구는 집에 들어가서 안 나오고 저는 그 집에 찾아갑니다...지나치게 많이싸우고 제 인생에 이렇게 에너지를 많이 쓰는 일이 있던가 싶을 정도로 격렬한 연애를 하고 있는데요 고시공부의 미덕인 안정성과는 사뭇 다른 삶의 방식이라 걱정도 꽤나 됩니다  저처럼 극과 극의 유형인 연애 하시는 분 계시나요?카페 눈팅을 해보니 entj에 isfp가 끌려가는 듯한 연애를 주로 하게 된다는 것 같은데요평화롭게 공존하시는 분 계시면 고견 부탁드립니다
4973,방탄소년단 뷔로 알아보는 ENFP의 몇가지 특징들 (펌),호윤 INTJ,방탄소년단 뷔로 알아보는 MBTI  ENFP스파크형의 몇가지 특징들 JPGSSS2017년에 뷔가 직접 쓴 자기소개서  MBTI 유형   ENFP  정확도  본인이 느끼기에 별 다섯개 유형의 특징 중 나를 잘..theqoo.net흥미로워서 퍼왔어용
4974,Istp인데 4차원 소리 듣는건,합격하기,제기능을 못하고 있는걸까요?어떠한 이유에서든지 스스로를 속이는데 감지를 못하는...
4975,혹시 사우스파크 보신분 있나요?,스티브 ENTP,에릭카트먼이야기인데불건강한 entp가 보여줄 수 있는 모든걸 보여주는 느낌이 팍 와서요 제경우는 직접본건 아니고 어쩌다 그 나무위키의 그 항목에 들어갈 계기가 있었어서..
4976,각 유형별 느낌,GHJO infp,"제가 대체로 사람을 한두번 만나보고 나서 아니면 사진상으로도 유형을 추측하길 좋아해서요, 개인적으로 쓴 몇몇 Mbti별 느낌 남겨봅니다.   Infp  뭔가 허공을 보는 듯한, 멍한 듯한 눈빛을 가진 사람도 많고상상의 나래 펼치는 중일듯 잔잔한 미소를 머금기도 함. 사진찍을 때 억지웃음이 힘들고 무표정인 경우도 있음. Isfp와 다르게 무리속에서 자신의 개성이 드러나는 등 특유의 아우라가 있음.      주변에 Infp가 없어 유명인 위주로 관찰해보았고요.  Enfp  눈빛이 강렬하며 entp처럼 보이기도 하나 좀더 뜨거운 느낌. Infp가 수줍은 느낌이라면 Enfp는 아이컨택도 잘하고 밖으로 에너지를 내뿜는 게 느껴짐. 길에서 처음 보는 사람에 말도 잘걸고 호탕하게 잘 웃는다. Infp보다 커리어나 성공에 더 관심이 많은 듯 하다. 의외로 속은 연약한 느낌.  Isfp  infp보다 첫인상은 차갑게 느껴짐무표정도 많다. 그러나 Infp보다 더 차분해보이고 더 안정된 느낌.  말수는 없으나 주위사람들과 잘 섞이고 어색해하지 않으며, 어쩌다 한번 은근한 유머감각으로 빵터지게 만든다. 술을 좋아하고 옷이나 자동차, 외모에 관심이 많다. Estj  눈빛이 매섭고 그냥 바라보는 건데도 화났나 생각될 때가 많다. 주변 사람을 다 관리하려고 하고 총무나 모임의 장에 딱 적합함. 목소리도 크고 직설적으로 말한다. 가끔 왠지 모르게 슬픈 눈을 하고 다닌다. Estp  웃긴 농담을 잘하고 유쾌하며, 명품이나 부동산, 여행, 맛집에 관심이 많다. 능력을 중시하고 자기 자랑하는 데 거리낌 없음. 솔직한 매력이 있다.   Enfj  말투가 선생님틱하고 실제로 교사가 많은 듯. 마음을 움직이는 말을 굉장히 조리있게 잘함. 사람에 대한 애정을 불편하지 않고 예의있게 잘 표현함. 그리고 주기적으로 연락을 잘 해온다. 일에 대한 집념과 열정이 있고 일을 실제로 잘한다. Infj  infp가 세상을 두루 응시하는 눈빛이라면, infj는 한곳을 강렬히 응시하는 느낌. Infj의 눈빛을 직접 받으면 레이저 광선에 압도되어 꼼짝 못할것 같은 느낌.좋아하는 이성이면 설레이게 됨 근엄한 얼굴이 많고, 웃는 얼굴도 있지만 주변 사람을 의식해 웃는것 같다. 사적인 영역은 누구도  알 수 없게 하고 Sns는 대부분 비공개심. 유튜브, 블로그 등에 남모르게 자신의 관심사를 표출해 놓음.  Istj 과거 일에 대한 추억을 잘 기억하고 일기나 블로그에 여행 기록을 꼼꼼히 정리해둠. 여행계획도 항상 풀 일정으로 빡빡히 세워놓음. infp와 의외로 잘 맞고 편하게 해준다. 책 편집이나 번역 같은 일을 잘한다.  그 외 타입은. 최근에 잘 못만나서 생각이 안나네요.."
4977,infj intj intp 차이,미리별intx,infj intj intp 구별할 수 있는 방법이 뭘까요?
4978,삼국지 등장인물들 mbti 뭘까요??,ENTp디아나7w8,"요즘 한창 빠져서 정사도 위나라 편 다 읽었는데,, 문득 삼국지속 인물들의 mbti가 궁금해졌습니다갠적으로 조조는 완전 entj인거같은데,, 나머지는,, 애매하네요"
4979,이명박 전 대통령=IXTP인거같습니다,스티브 ENTP,MBTI니까 아마도 내향사고 주기능일테니ISTP나 INTP겠죠...합니다 굳이 진지하게 생각하면 INTJ인듯
4980,설리는 mbti가 뭘까요?,소마 ENFP,esfp? 인것같기도 하구 아닌것 같기도 하고
4981,이분 어떤 유형이실까요?,Y ISFP 8w9,"특징을 적어볼게요평소에 너무나 궁금했어서  1. 의심이 많음. 웬만하면 보통 넘어가는 일에도   의심이 많다. 잘 따지는 성격. 2. 독립적이면서 의존적인 성격.   남들이랑 지내면 트러블 잘 일으키는데,   혼자사는건 외로워서 못함. 3. 남이 말하고 있을때도 본인 다음 할말  생각함.  말이 너무 많고 장황해 듣다보면 짜증이 날 정도. 자기 얘기만 함.  4. 특이한 결벽증 있음. 남자가 쓰던 변기 못씀    아버지여도. 5. 재주가 많음. 지식도 많고 재주 많음   웬만한건 중간이상 함.  6. 일을 1달정도만 하고 다 때려침.   일을 하면 불만만 말하다가 때려치고,  그런상황이 10번정도. 7. 가끔씩 폭식을 함. 식탐 많음. 8. 외모나 패션에 신경을 안씀. 9. 불교,중국문화, 여행하는거 좋아함 10. 사주 얘기, 영적인 얘기도 자주함. 11. 소개팅 할때마다 어떤 남자라도 단점  찾아서 결국 못만나겠다고 함. 12. 연애 한번도 한적 없음 30대 13. 융통성이 없으나 양심적임. 14. 히스테릭하며 예민함. 15. 돈을 너무 아끼고, 음식 남기는것 아까워함. 16. 화도 잘 내고, 혼자 깔깔깔 잘 웃음. 17. 가족한테 장기이식해야 할 상황이 온다면,  진지하게 안한다고 말함. 18. 친구가 없는편 19. 주위사람,겪은 사람에 대한 얘기를 많이함.  20. 책임감이 부족함       너무 알고싶은데.. 이분 유형 뭘까요?"
4982,인생이 재미없을때,멜랑꼴리ientpj 8,아무런 자극이없을때 어떻게버티시나요?인생이 지금 너무 재미가없어서길거리에있는 아무사람 잡아다가 파티를열고싶은 심정이에요
4983,우리 가족의 프로필과 대화,멜랑꼴리ientpj 8,"엄마I or E sfp50세 90추정 isfp가 우세  전갈자리에 양띠이다.이건 무슨조합?  아빠i S or N tp57세 90추정 istp가 우세  황소자리에 소띠이다. 고집고집 더블황소?  동생es T or F p 19세 90추정 estp가 우세 용띠에 사수자리이다.용과 사수의 만남...  나 I or E ntp 22세빠른년생이라 확실한건 21세 entp가 우세 호랑이띠에 물고기자리이다.이건 무슨조합? 이중인격인가 어쩐지    엄마오늘 뭐 어쩌구저쩌구아빠....티비보는중엄마아 글쎄 오늘 빨래를 너는데 금방말랐다느니어쩌구저쩌구아빠.......티비보는중나아 배고파 동생니가 갖다먹든가나 이 세상에 지금 이순간 나만큼 귀찮은 사람이있을까?엄마저기 김치찌개 만들어놨잖어 저거먹어나아프리카사람들은 배고프단 생각 매일하겠지? 아 매일 먹는 나도 항상 배고픈데 아프리카애들은 얼마나 배고플까 이참에 후원이나할까동생뭐래 개소리하네 맨날 말만 뻔지르르 뱉고 실천은 하나도안하면서나니는 그런생각도안하면서 살잖아 !동생니보단 낫거든  아빠티비를보며이야나뭐야 저게동생개웃곀아빠개웃기다 개 으하하하!!  개하하하!!나뭔말이야 그건 또아빠개 가 강조하는 단어아니야?그래서 엄청웃겨서 개하하하!!!동생아......노잼아빠잼잼잼 도리도리 잼잼동생,나 아 또 이상한소리해........진짜 알수가없는 사람이야...분석하기를 포기했어   동생과 나 동생야 나 얼굴에 다래끼남나야 이거보셈 개웃김동생근데 너 내꺼 화장품 훔쳤냐?나아 뭐래 내가 니껄 왜훔침 드럽게동생진짜 쓴거면 뒤진다나지도 내꺼  쓴적있으면서동생나야 근데 니 책상위에 언제치우냐? 맨날 치운다면서 안치우냐?동생지는 나보다 더 심각하면서 뭐래나야 그나저나 떡볶이  먹으러가실?동생아 살빼야된다고나맨날 그러면서 안빼면서 니가 그말만으로 살뺀거면 이미 기아수준됬겠다동생아씨  걍 먹으러갈래당연히  니가 사는거 알지? 절대  싸우는게 아닌 평범한 일상 대화입니다....   나만약 불사신으로 살게되면 어떻게할거야?아빠조선시대 신하가 그랬잖아나뭔 소리야......아빠..........갑자기 멍을때리는...나빨리!아빠그게 뭔 소리야나아우......그러니까 만약 죽지않는 몸이되면 어떻게할거야?아빠조선시대로 돌아갈거야나....? 정말 나보다 예측불가한 사람은  처음봤어...  휴 힘들고 재미없네염 여기까지쓸게여 ....나중에 올릴게염 ..나중엔 특징이 더 두드러지게 써보겠음다 "
4984,에니어그램과 게임 직업의 관련성 검정(2) - 일원배치 분산분석,기파랑 INFJ,"참고글httpscafe.naver.commbtilogos12211지난 포스팅에서는 범주형 변수 간의 분석을 토대로 에니어그램과 게임 직업의 관련성을 검정해보았다. 이번에는 독립변수는 그대로 설정하되 종속변수는 연속형 변수로 설정하여 세 집단 이상의 평균을 비교하는 일원배치 분산분석을 진행해보고자 한다. 역시 유의수준 5에서 검정해보도록 하겠다. 독립변수는 힘의중심유형본능으로 설정하고 종속변수는 생명력재생량공격력공격속도피해량생존력으로 설정하였다. 특별히 피해량과 생존력은 히오스 공식 스탯은 아니기 때문에 필자가 따로 조작적 정의를 하여 변수를 계산한 부분이다. 분산분석을 진행하기 위한 가설을 세우면 다음과 같다.귀무가설 힘의중심유형본능에 따라 모든 집단은 생명력재생량공격력공격속도피해량생존력 평균의 차이가 없다.대립가설 힘의중심유형본능에 따라 적어도 두 집단은 생명력재생량공격력공격속도피해량생존력 평균의 차이가 있다. 힘의중심장가슴머리 집단에 따라 평균의 차이가 있는 변수들은 유의확률이 0.05보다 낮은 생명력생존력으로 나타났다. 유의수준 5에서 귀무가설을 기각하여 생명력생존력 평균의 차이가 있는 것이다.장형의 경우 생명력생존력에 있어 압도적으로 높은 수치를 나타내고 있는 반면 머리형의 경우 생명력생존력이 가장 낮게 나타난다. 이는 실제로도 사람들의 입에 오르내리는 부분과 상통하는 부분이다. 유형19 집단에 따라 평균의 차이가 있는 변수들은 유의확률이 0.05보다 낮은 생명력피해량생존력으로 나타났다. 유의수준 5에서 귀무가설을 기각하여 생명력피해량생존력 평균의 차이가 있는 것이다. 생명력은 8유형1유형이 가장 높은 수준이고 4유형5유형이 가장 낮은 수준이다. 8유형1유형은 강하고 단단한 기운을 가지고 있는 반면 4유형5유형은 약하고 예민한 기운을 가지고 있는 부분과 상통하는 부분이다. 피해량은 공격력공격속도를 함수로 하는 변수이며, 6유형이 독보적으로 높고 5유형이 독보적으로 낮다. 순간 누킹은 6유형이 높고 5유형이 낮다는 부분을 보여주는 것 같다. 생존력은 생명력재생량을 함수로 하는 변수이며, 8유형1유형이 높은 수준이고 5유형7유형이 낮은 수준이다. 8유형1유형은 전방에서만 싸우는 존재들인 반면 5유형7유형은 후방에서만 싸우는 존재들이라는 점이 반영된 부분이다.본능자기보존사회성 집단에 따라 평균의 차이가 있는 변수들은 유의확률이 0.05보다 낮은 공격력으로 나타났다. 유의수준 5에서 귀무가설을 기각하여 공격력 평균의 차이가 있는 것이다.공격력은 유독 성적 본능이 높게 나타난다. 매혹적이고 강렬한 그들의 느낌이 수치로 반영된 부분이 아닌가 싶다."
4985,트럼프  esfp 김정은 estj,물결 INTJ 3w4,앞으로 5년 미중전쟁 시나리오 저자의 분석둘다 에니어그램은 3번으로 보이네요
4986,안녕하세요^^ 유형 감별 부탁드려요,서네 INTJ,"안녕하세요사회생활로 인해 성격검사에 변동이 생긴것 같아여러분들의 의견을 듣고싶어 글을 남깁니다.대학 입학 후 처음 MBTI 검사지로 ENFP가 나왔고,사회 생활하면서 사람들과 여러가지 트러블도 생겨보고 지적과 조언으로 성격도 고쳐보려고 이런저런 노력을 해봤는데 mbti에 관심이 많아 가끔 검사를 해봤는데 Entp로 나왔지만 사람에 크게 데인후로는 E로는 나오지 않네요. N은 고정이구요.이후로 INTP로 줄곧 나오다가 가장 최근의 약식 검사로는 INTJT가 나왔습니다. 제 성향을 적어보자면현재 집순이 성향이 짙으나 야외활동도 좋아합니다 .낯을 가리는듯 보이나  모르는 사람과도 먼저 대화를 시작하기도하고 타이밍을봐서 분위기를 조성하기도 합니다.집에서 하는 정적인 활동에 좀 더 편안함을 느낍니다.게으른 생활을 즐깁니다.할 일 미루기 등등..하지만 데드라인은 칼같이 지킵니다.귀차니즘이 심한 탓에 효율적인 동선을 생각해서 움직이는 타입입니다. 비효율적인 체력낭비는...싫어요.여행시 계획을 짜서 움직이나 게으른 성격 탓에 시간을 못맞추면 어쩌나해서 차안을 세워서 움직입니다.가끔은 무계획으로 발걸음 닿는대로 가고싶은곳 하고싶은대로 하자 라는 생각은 있지만 보수적인 생각잠은집에서라던지 탓에 최대로 막차시간이라던지.. 결국 최소한의 계획을 세우기는 합니다.정리정돈, 청소 귀찮으나 제 구역은 크게보면 정돈된 상태이나 어지르는곳만 책상 위 정도로 한정적입니다. 공동구역은 제가 쓴 티 안내는 정도로 정리하는 수준여러가지 잡생각이 많을 때도 있습니다.사람들에게 무슨 생각하냐? 넌 무슨 생각을 하는지 모르겠다. 표정이 차갑다. 라는 말을 종종 듣습니다.속전속결로 결론 내리는 타입입니다. 가끔은 신중하게 고민합니다 이게 진짜 쓸모잇을까 나한테 의미잇을까하면서 고민합니다.또는 단체행동시 제 딴엔 배려로 의견을 내지 않는 타입인데 너무 시간을 끌고 타인이 나서지 않을시 제 의견대로 하자고 이야기합니다.어릴땐 감정이 앞서 반박당하면 금방 욱하는 성질이 있었는데 오랜 사회생활? 나이를 먹음?으로 인해서 변한건지 분쟁이나 다툼이 생기는 것 자체가 싫어서 내가 참자 또는 한번 더 생각해서 내가 이 싱황에서 논리적으로 생각해서 당장 상황을 조율할 수 있는 상황에서만 반박을 합니다.무언가 논쟁이 생겨서 제 의견이 부정당할때 타인이일리있는 의견을 제시하고 이론적으로 확실하면 일단 수긍하는척? 으로 상황을 정리하지만 뒤로는 이게 확실하게 맞는지 직접 체험? 내눈으로 확인해야한다라는 고집이 있어서 몇번씩 검증합니다. 반박할 여지가 전혀없다면 곧바로 수긍하나 하나라도 반박이 가능한 여지가 있다면 그걸 캐내서 엎기도 하는 스타일입니다. 정도로 정리 할 수 있겠네요.모바일로 써서 두서가 없는 느낌이지만 여러분의 의견을 듣고 싶습니다! 8기능검사 사진 첨부합니다."
4987,첨으로 감별 요청해요,ENTP Jenny,"안녕하세요 이 게시판에 첨 올려봅니다어떤 타입일까요?1. 30대 남자2. 조용하고 점잖고 매너가 훌륭하게 몸에 배어있으나 끼를 부리는 커녕 철벽치는 스타일. 본인이 원하지 않는 이성에게는 절대 오해의 여지를 주지 않음3. 완벽주의, 결벽에 가깝게 일을 함. 하나를 알려주면 열을 암. 극성은 아니고 묵묵히 찾아봐서 해당 지식의 확장된 지식을 모두 흡수하고 이해해서 자기 것으로 만듬. 손 안 대도 되게 뭘 하든 일처리가 깔끔하고, 머릿속에 모든 프로세스가 자잘하게 다 들어있음. 학교 공부에 관심 있는건 아니고 그야말로 잡다한 것들을 다 암4. 아주 예의 바르고 평소 작고 사소한 문제는 전혀 신경도 안 쓰고 넘어가지만, 중요하고 심각한 사안이면 냉철하고 이성적으로, 하지만 단호하게 물고늘어져서 해결함. 상대가 어른이어도 상식 밖으로 일을 처리하면 조근조근 예의 바르게 말하되, 어물쩡 물러서지 않고 시시비비를 가림. 5. 잡학다식인데, 본인 분야가 전혀 아닌데도 전문가 수준으로 이해하고 최신 동향을 꿰고 있으며과학기술, 법, 경제 경영 등, 회사에서 1인 10역을 함. 6. 딱히 우리나라식으로 잘 노는 건 아닌데, 우두머리를 잘 맡고, 술도 잘 마시고 회식도 빠지지 않음. 심지어 조용한데 마지막까지 사람들 챙겨줌.7. 연상의 여성이 스토커 수준으로 따라다니는 적이 많음. 오는 여자 안 막지만 사랑에 빠지는 타입은 아니고, 먼저 다가가는 타입도 전혀 아님. 여자보단 조용하고 기술 좋은디자이너셰프연구원영화감독 등 동성 친구와 조용히 심심하게 노는 걸 좋아함. 요리도 수준급.8. 주변 정리정돈이 깔끔함. 무조건 양보다는 질. 친구가 너무 많고, 경조사 잘 챙김. 적이 없는 편이지만 만만하게 보는 사람이 없음. 왠만한 기계 원리를 다 알고 스스로 수리하고 간단한 시공도 직접 재료 사다 함. 건물관리, 자동차수리 등9. 패션 감각이 뛰어나고 미적 안목도 훌륭함. 미래에 대한 예측이 정확하며, 돈 씀씀이가 큼. 걱정이 없고 운동 신경이 매우 좋음. 유머감각도 뛰어나지만 조용하게 말하면서 상대를 빵터뜨리는 스타일. 말솜씨는 청산유수. 어려운 상대가 없음. 사윗감으로 러브콜 굉장히 많이 들어옴.10. 한국어 포함 4개국어 능통좀 살다옴."
